15.640000 1.9461 0.9827 -0.2808 25
22.793104 8.3554 0.9933 -2.9985 29
46.750000 65.6146 0.9937 -0.2716 8
86.199997 8.1728 0.2254 -1.5156 10
20.956522 30.5519 0.9889 -1.0866 23
38.424999 18.2442 0.9859 -0.4548 80
31.666666 21.7222 1.0007 0.3602 9
32.555557 39.8942 0.9916 -2.5670 18
25.500000 30.4457 0.9977 -1.8435 8
19.000000 36.2555 0.9932 -2.2896 9
46.888889 17.1674 0.9950 -2.3895 9
17.363636 17.1918 0.9904 3.0165 11
21.500000 9.5460 0.9959 2.3750 6
37.647060 57.3077 0.9977 2.9111 17
32.000000 14.7559 0.9974 -2.8446 9
4.333333 17.6562 0.8450 -2.1010 3
57.564518 25.4522 0.6152 3.0918 62
56.467743 25.2715 0.6262 3.0912 62
54.913044 6.5325 0.7722 1.3825 23
18.285715 14.4809 0.8094 -2.5567 7
13.333333 2.5438 0.3585 -2.8660 3
26.285715 1.5066 0.8696 -0.4778 7
26.333334 25.3889 0.9685 1.6830 9
64.281250 17.1663 0.9768 -3.0613 32
39.478260 6.5844 0.7286 3.0932 23
26.647058 3.4665 0.9925 -2.1731 17
24.047619 18.0350 0.9934 -0.7491 21
24.857143 17.5654 0.9968 -0.5528 14
36.363636 17.2686 0.7596 1.9409 22
45.000000 16.1594 0.9960 1.8543 22
37.571430 27.7760 0.9994 -2.5081 7
15.280000 1.9461 0.9827 -0.2808 25
22.551723 8.3554 0.9933 -2.9985 29
44.250000 65.6146 0.9937 -0.2716 8
85.500000 8.1728 0.2254 -1.5156 10
20.826086 30.5519 0.9889 -1.0866 23
38.362499 18.2442 0.9859 -0.4548 80
29.555555 21.7222 1.0007 0.3602 9
32.555557 39.8942 0.9916 -2.5670 18
24.500000 30.4457 0.9977 -1.8435 8
17.888889 36.2555 0.9932 -2.2896 9
45.777779 17.1674 0.9950 -2.3895 9
16.909090 17.1918 0.9904 3.0165 11
19.333334 9.5460 0.9959 2.3750 6
37.117645 57.3077 0.9977 2.9111 17
30.555555 14.7559 0.9974 -2.8446 9
56.322582 25.2715 0.6262 3.0912 62
54.695652 6.5325 0.7722 1.3825 23
17.142857 3.1333 0.0832 -2.4667 7
25.142857 1.5066 0.8696 -0.4778 7
24.777779 25.3889 0.9685 1.6830 9
